,best_seller,sci_fi,adj,adj_compare,adj_sup,adv,adv_compare,adv_part,adv_sup,avg_sent_len,avg_word_len,conj_coord,conj_sub_prep,determiner,exist_there,foreign_word,inf_to,interject,lex_diversity,list_marker,noun,noun_plural,noun_prop,noun_prop_pural,number,polarity,poss_ending,predeterm,profane,profanity,pronoun_pers,pronoun_poss,subjectivity,verb.body,verb.change,verb.cognition,verb.communication,verb.competition,verb.consumption,verb.contact,verb.creation,verb.emotion,verb.motion,verb.perception,verb.possession,verb.social,verb.stative,verb.weather,verb_3rd_sing_pres,verb_aux,verb_base,verb_count,verb_ger,verb_past,verb_pp,verb_sing_pres,wh_adv,wh_determ,wh_poss,wh_pronoun,word_count
0,0,0,11.4838940592,0.514117463399,0.315806313589,13.2449119842,0.310962599309,2.24553976753,0.0629932040883,2542,853,7.85224325836,23.8864743589,18.6415927606,0.290017023918,0.0242324210019,6.16063621542,0.661054322806,70.8467455283,0.00038652032223,32.3206658807,7.3159051133,13.6202212896,0.111490606517,1.41327043069,17.4232703579,0.17661823874,0.18408786071,0.000336585671471,4989,25.3442358212,9.40230366635,109.096837324,6.31744101198,9.6905790007,15.5702210004,27.4118942671,1.35453188676,2.23221384523,23.9762737897,1.51521506516,9.78966638416,30.789978665,14.4992687481,23.2702511701,21.754402261,41.5879140418,0.24014886278,3.68296705088,2.23291941017,9.71449149525,268304.0,5.48881146134,19.2151984578,3.98255569839,6.6071871629,1.63073964369,0.554843771687,0.0144345929037,1.31601234979,1357917
1,0,1,13.4331432888,0.696147628982,0.38201707513,13.9146970635,0.361434546456,1.95148134855,0.0625584158131,2801,912,8.06454288993,25.0573518443,22.6904204495,0.498562793409,0.0168624759026,6.20913686075,0.39675323511,60.4690559337,0.000119260584377,32.5694978248,9.26247876136,12.550109853,0.169676652096,1.55918908188,12.9233100117,0.073356013384,0.224785279245,3.82630360293e-05,2168,20.2938763837,6.48963100615,110.006994084,4.62875310325,11.861552883,15.1202599362,26.2793671664,2.56564162137,2.08673680877,19.7233754643,2.75535661611,6.40092163303,30.0829206153,14.334735612,23.7487151559,22.3221670292,47.7592412054,0.330255149611,3.16917317995,2.63492022697,9.44345835486,384130.0,5.51260117746,18.5761832343,4.89116725231,5.49435716808,1.3713344216,0.78227896181,0.0142841711416,1.24527360301,1973258
2,1,0,11.3815611441,0.561867102761,0.341584403078,13.3555877151,0.302855426815,1.82336238437,0.0628091282609,2450,853,7.79752677377,23.3491126466,18.1079663372,0.350718009771,0.0246110788772,6.12030235697,0.560453579196,49.0709760591,3.18086392264e-05,30.2065568332,7.28300167463,11.5233745102,0.122441596651,1.43583440956,16.3149846395,0.161845448508,0.197088510345,8.61360736346e-05,7661,24.8454245945,8.55148684988,107.326845737,5.29972564192,9.24882529515,16.252816047,26.2247116886,1.4581307504,1.9647687585,20.7824633784,1.6914048307,9.82950127115,28.7798113012,12.790771508,22.0334178923,22.0917305062,42.3169802131,0.234940917428,3.59460351075,2.45210198886,9.64183135475,509882.0,5.93112548552,17.148339,3.92712235809,6.31708573661,1.55624631856,0.533862324951,0.0141066201722,1.27803974464,2655165
3,1,1,14.6759164447,0.689183823352,0.421544428247,14.0111589225,0.360296266251,1.79035473753,0.0765513798179,3019,958,8.16536816303,26.7041612263,24.4242766938,0.562014026394,0.0269363474357,5.72730803264,0.368026002293,53.2535679228,0.000114139760048,34.5230202444,10.4629315487,15.2414195879,0.199014452804,2.07646432394,12.1865861666,0.777371789795,0.270730572918,2.37031661681e-05,4057,19.1849444266,5.55267400943,111.419401963,4.06108678323,11.7649489015,15.8383942734,28.0219615621,2.43172937863,2.30717693049,19.3665446819,3.03281354556,5.65073541523,29.4279526614,14.8698757624,27.0922571138,23.7341985889,52.1044965905,0.295827811005,3.74727339895,3.2790487399,9.34690944674,644044.0,5.38834214203,18.1837543142,5.51611726736,4.76762623245,1.41671977579,0.89294202905,0.0248668074143,1.26540808304,3505004
